,image_id,case_id,img_file,new_path,coords
240,250,191,/data/cimalab/thyroid/182_1.jpg,data/resized_imgs/img_306,"[array([89, 81, 154, 142], dtype=object), array([297, 76, 225, 150], dtype=object)]"
29,30,22,/data/cimalab/bening/568/1.jpg,data/resized_imgs/img_30,"[array([273, 65, 57, 93], dtype=object)]"
95,97,18,/data/cimalab/maling/564/1.jpg,data/resized_imgs/img_98,"[array([170, 62, 116, 127], dtype=object)]"
244,254,194,/data/cimalab/thyroid/185_1.jpg,data/resized_imgs/img_312,"[array([91, 89, 169, 134], dtype=object), array([330, 64, 116, 131], dtype=object)]"
372,387,312,/data/cimalab/thyroid/293_1.jpg,data/resized_imgs/img_516,"[array([233, 68, 143, 113], dtype=object)]"
447,462,369,/data/cimalab/thyroid/349_1.jpg,data/resized_imgs/img_595,"[array([147, 54, 290, 128], dtype=object)]"
59,61,68,/data/cimalab/bening/616/1.jpg,data/resized_imgs/img_61,"[array([72, 50, 189, 94], dtype=object), array([340, 52, 141, 88], dtype=object)]"
94,96,17,/data/cimalab/maling/563/2.jpg,data/resized_imgs/img_97,"[array([227, 72, 128, 98], dtype=object)]"
529,545,436,/data/cimalab/thyroid/51_1.jpg,data/resized_imgs/img_679,"[array([240, 96, 154, 78], dtype=object)]"
352,367,292,/data/cimalab/thyroid/275_1.jpg,data/resized_imgs/img_487,"[array([254, 127, 161, 104], dtype=object)]"
22,23,18,/data/cimalab/bening/564/3.jpg,data/resized_imgs/img_23,"[array([195, 43, 97, 120], dtype=object)]"
483,498,394,/data/cimalab/thyroid/372_1.jpg,data/resized_imgs/img_633,"[array([197, 96, 209, 93], dtype=object)]"
376,391,314,/data/cimalab/thyroid/295_1.jpg,data/resized_imgs/img_520,"[array([195, 44, 214, 204], dtype=object)]"
39,41,30,/data/cimalab/bening/576/1.jpg,data/resized_imgs/img_41,"[array([162, 42, 284, 228], dtype=object)]"
168,173,131,/data/cimalab/thyroid/128_1.jpg,data/resized_imgs/img_196,"[array([281, 67, 177, 144], dtype=object), array([40, 56, 215, 137], dtype=object)]"
219,226,170,/data/cimalab/thyroid/163_2.jpg,data/resized_imgs/img_274,"[array([247, 141, 65, 50], dtype=object)]"
503,519,413,/data/cimalab/thyroid/390_1.jpg,data/resized_imgs/img_654,"[array([259, 95, 60, 70], dtype=object)]"
35,37,26,/data/cimalab/bening/572/1.jpg,data/resized_imgs/img_37,"[array([181, 64, 177, 171], dtype=object)]"
